,Unnamed: 0.1,Unnamed: 0,train_loss,val_loss,train_acc,val_acc
33,33.0,33.0,0.2540439702326955,0.2226534192622811,0.9205115089514068,0.9310144927536232
34,34.0,34.0,0.2427412715612673,0.2008610144257545,0.9231457800511508,0.9391304347826088
35,35.0,35.0,0.2480072807642369,0.2128342228631178,0.920306905370844,0.9352898550724638
36,36.0,36.0,0.2372341078091291,0.1962539799235485,0.9240537084398976,0.938768115942029
37,37.0,37.0,0.2284268065800074,0.1981488724273664,0.9271994884910486,0.9381159420289856
38,38.0,38.0,0.2396149354822495,0.2127373875291259,0.924079283887468,0.933623188405797
39,39.0,39.0,0.219681986114558,0.1839617162390991,0.9306010230179028,0.9438405797101448
40,40.0,40.0,0.2205127307207755,0.1948909180031882,0.9299616368286444,0.9432608695652174
41,41.0,41.0,0.2073695885102733,0.1662754387491279,0.9342199488491048,0.9484782608695652
42,42.0,42.0,0.2062101452763563,0.1876056735162381,0.9336700767263428,0.942608695652174
43,43.0,43.0,0.206543571419186,0.1932854455102373,0.9334910485933504,0.9394927536231884
44,44.0,44.0,0.1992024785650321,0.2259348200427161,0.9363427109974424,0.9310869565217392
45,45.0,45.0,0.191037866658245,0.1821507819824748,0.938695652173913,0.9436231884057972
46,46.0,46.0,0.1888975311630691,0.183143997495925,0.9394373401534528,0.9442028985507246
47,47.0,47.0,0.1896543575852525,0.1600526949666716,0.9390281329923272,0.9510869565217392
48,48.0,48.0,0.1935663589465072,0.1683813129310254,0.937762148337596,0.9469565217391304
49,49.0,49.0,0.1772598599881128,0.149533312767744,0.9423529411764706,0.953768115942029
50,50.0,,0.1542187403230106,0.146637181027068,0.9502941176470588,0.9565217391304348
51,51.0,,0.1523675508066719,0.1480888820218819,0.95039641943734,0.9544927536231884
52,52.0,,0.1527425766088604,0.1532375411027007,0.9497442455242968,0.9542028985507246
53,53.0,,0.1534495177903985,0.1454073605300099,0.9504092071611252,0.956304347826087
54,54.0,,0.1463473845833267,0.1274349056184291,0.95230179028133,0.960144927536232
55,55.0,,0.1460084519744698,0.1244070418179035,0.9527493606138108,0.9617391304347828
56,56.0,,0.1450143561643712,0.1484720698661274,0.9535933503836316,0.954782608695652
57,57.0,,0.1455696362003781,0.1281817356745402,0.9524680306905372,0.9616666666666668
